City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.3333,53.01,84,60,3.65,NZ,1620365909
São Filipe,14.8961,-24.4956,71.73,79,39,6.69,CV,1620365909
Longyearbyen,78.2186,15.6401,19.4,63,20,16.11,SJ,1620365910
Pauini,-7.7136,-66.9764,71.01,99,100,4.88,BR,1620365910
Nsanje,-16.92,35.262,69.73,66,5,2.44,MW,1620365910
Punta Arenas,-53.15,-70.9167,42.8,87,75,6.91,CL,1620365832
Tuktoyaktuk,69.4541,-133.0374,26.6,93,90,13.8,CA,1620365911
Albany,42.6001,-73.9662,44.01,51,100,3.53,US,1620365672
Richards Bay,-28.783,32.0377,69.8,80,79,8.66,ZA,1620365912
Faanui,-16.4833,-151.75,82.49,74,12,14.54,PF,1620365912
Saldanha,-33.0117,17.9442,59.0,88,85,4.61,ZA,1620365913
Thyborøn,56.6985,8.2124,42.01,3,89,5.57,DK,1620365913
Ushuaia,-54.8,-68.3,39.2,87,0,1.14,AR,1620365761
Laas,46.6166,10.7002,55.4,100,90,4.61,IT,1620365913
Hofn,64.2539,-15.2082,33.01,56,15,11.72,IS,1620365914
Cape Town,-33.9258,18.4232,61.0,94,75,8.05,ZA,1620365914
Naze,28.3667,129.4833,75.2,94,75,17.27,JP,1620365915
Pijiño del Carmen,9.3291,-74.453,73.83,97,100,5.03,CO,1620365915
Rikitea,-23.1203,-134.9692,78.44,77,100,11.72,PF,1620365915
Bethel,41.3712,-73.414,48.99,70,1,3.44,US,1620365916
Busselton,-33.65,115.3333,66.0,81,82,1.99,AU,1620365916
Manokwari,-0.8667,134.0833,84.13,70,91,4.61,ID,1620365917
Ettaiyapuram,9.1441,77.9907,91.4,52,40,3.44,IN,1620365918
Puerto Ayora,-0.7393,-90.3518,72.0,92,1,5.75,EC,1620365918
Arraial do Cabo,-22.9661,-42.0278,72.91,80,0,11.77,BR,1620365919
Maridi,4.9158,29.4742,68.14,98,100,4.81,SS,1620365919
Port Lincoln,-34.7333,135.8667,69.37,58,93,9.33,AU,1620365920
Ilulissat,69.2167,-51.1,16.7,79,13,6.04,GL,1620365920
Vaini,-21.2,-175.2,73.4,94,75,14.97,TO,1620365920
Leningradskiy,69.3833,178.4167,19.44,93,17,7.38,RU,1620365921
Okhotsk,59.3833,143.3,38.52,64,100,5.3,RU,1620365921
Saint Paul Harbor,57.79,-152.4072,48.2,46,40,9.22,US,1620365922
Hobyo,5.3505,48.5268,86.27,63,74,6.87,SO,1620365922
Mataura,-46.1927,168.8643,53.01,84,59,0.76,NZ,1620365922
Jamestown,42.097,-79.2353,43.0,70,90,9.22,US,1620365701
Hermanus,-34.4187,19.2345,59.0,97,100,1.01,ZA,1620365923
Charters Towers,-20.1,146.2667,79.18,23,0,3.51,AU,1620365923
Ancud,-41.8697,-73.8203,35.6,100,0,4.61,CL,1620365924
Hilo,19.7297,-155.09,77.0,69,90,11.5,US,1620365271
La Grande,45.3246,-118.0877,52.0,59,85,5.01,US,1620365924
Emerald,-23.5333,148.1667,82.99,24,0,10.36,AU,1620365925
Cherskiy,68.75,161.3,31.26,86,100,3.42,RU,1620365925
Bambous Virieux,-20.3428,57.7575,82.0,83,20,8.05,MU,1620365925
Provideniya,64.3833,-173.3,33.8,64,0,13.42,RU,1620365926
San Patricio,28.017,-97.5169,69.8,88,1,3.44,US,1620365926
Bengkulu,-3.8004,102.2655,83.26,69,99,5.66,ID,1620365926
Yellowknife,62.456,-114.3525,44.6,42,20,10.36,CA,1620365911
Hualmay,-11.0964,-77.6139,65.12,87,56,7.74,PE,1620365927
Rincon,32.296,-81.2354,66.2,48,1,11.5,US,1620365927
Butaritari,3.0707,172.7902,84.13,75,69,14.81,KI,1620365928
Nikolskoye,59.7035,30.7861,43.0,87,90,6.71,RU,1620365928
Eureka,40.8021,-124.1637,52.0,85,33,5.99,US,1620365676
Pacific Grove,36.6177,-121.9166,55.4,82,90,10.36,US,1620365928
Port Alfred,-33.5906,26.891,67.06,76,57,7.0,ZA,1620365929
Carnarvon,-24.8667,113.6333,73.4,68,0,18.41,AU,1620365929
Russell,32.3502,-85.1999,62.6,63,90,4.61,US,1620365929
Green Valley,31.8543,-110.9937,75.99,23,17,6.46,US,1620365930
